erg score,50kg,60kg,70kg,80kg,90kg,100kg,110kg
05:40,06:00,06:07,06:14,06:20,06:26,06:32,06:38
05:45,06:06,06:13,06:19,06:26,06:32,06:38,06:44
05:50,06:11,06:18,06:25,06:31,06:38,06:44,06:50
05:55,06:16,06:23,06:30,06:37,06:43,06:49,06:56
06:00,06:21,06:29,06:36,06:42,06:49,06:55,07:01
06:05,06:27,06:34,06:41,06:48,06:55,07:01,07:07
06:10,06:32,06:40,06:47,06:54,07:00,07:07,07:13
06:15,06:37,06:45,06:52,06:59,07:06,07:13,07:19
06:20,06:43,06:50,06:58,07:05,07:12,07:18,07:25
06:25,06:48,06:56,07:03,07:10,07:17,07:24,07:31
06:30,06:53,07:01,07:09,07:16,07:23,07:30,07:37
06:35,06:59,07:07,07:14,07:22,07:29,07:36,07:42
06:40,07:04,07:12,07:20,07:27,07:34,07:41,07:48
06:45,07:09,07:17,07:25,07:33,07:40,07:47,07:54
06:50,07:14,07:23,07:31,07:38,07:46,07:53,08:00
06:55,07:20,07:28,07:36,07:44,07:51,07:59,08:06
07:00,07:25,07:34,07:42,07:49,07:57,08:04,08:12
07:05,07:30,07:39,07:47,07:55,08:03,08:10,08:17
07:10,07:36,07:44,07:53,08:01,08:08,08:16,08:23
07:15,07:41,07:50,07:58,08:06,08:14,08:22,08:29
07:20,07:46,07:55,08:04,08:12,08:20,08:28,08:35
07:25,07:52,08:00,08:09,08:17,08:25,08:33,08:41
07:30,07:57,08:06,08:15,08:23,08:31,08:39,08:47
07:35,08:02,08:11,08:20,08:29,08:37,08:45,08:53
07:40,08:07,08:17,08:26,08:34,08:43,08:51,08:58
07:45,08:13,08:22,08:31,08:40,08:48,08:56,09:04
07:50,08:18,08:27,08:37,08:45,08:54,09:02,09:10
07:55,08:23,08:33,08:42,08:51,09:00,09:08,09:16
08:00,08:29,08:38,08:48,08:57,09:05,09:14,09:22
08:05,08:35,08:43,08:54,09:03,09:11,09:20,09:28
08:10,08:41,08:48,09:00,09:09,09:17,09:26,09:34
08:15,08:47,08:53,09:06,09:15,09:23,09:32,09:40
08:20,08:53,08:58,09:12,09:21,09:29,09:38,09:46
08:25,08:59,09:03,09:18,09:27,09:35,09:44,09:52
08:30,09:05,09:08,09:24,09:33,09:41,09:50,09:58
08:35,09:11,09:13,09:30,09:39,09:47,09:56,10:04
08:40,09:17,09:18,09:36,09:45,09:53,10:02,10:10
08:45,09:23,09:23,09:42,09:51,09:59,10:08,10:16
08:50,09:29,09:28,09:48,09:57,10:05,10:14,10:22
08:55,09:35,09:33,09:54,10:03,10:11,10:20,10:28
09:00,09:41,09:38,10:00,10:09,10:17,10:26,10:34
09:05,09:47,09:43,10:06,10:15,10:23,10:32,10:40
09:10,09:53,09:48,10:12,10:21,10:29,10:38,10:46
09:15,09:59,09:53,10:18,10:27,10:35,10:44,10:52
09:20,10:05,09:58,10:24,10:33,10:41,10:50,10:58
09:25,10:11,10:03,10:30,10:39,10:47,10:56,11:04
09:30,10:17,10:08,10:36,10:45,10:53,11:02,11:10
09:35,10:23,10:13,10:42,10:51,10:59,11:08,11:16
09:40,10:29,10:18,10:48,10:57,11:05,11:14,11:22
09:45,10:35,10:23,10:54,11:03,11:11,11:20,11:28
09:50,10:41,10:28,11:00,11:09,11:17,11:26,11:34
09:55,10:47,10:33,11:06,11:15,11:23,11:32,11:40
10:00,10:53,10:38,11:12,11:21,11:29,11:38,11:46
