erg score,50kg,60kg,70kg,80kg,90kg,100kg,110kg
05:40,05:44,05:50,05:57,06:03,06:09,06:14,06:20
05:45,05:49,05:56,06:02,06:08,06:14,06:20,06:25
05:50,05:54,06:01,06:07,06:13,06:20,06:25,06:31
05:55,05:59,06:06,06:12,06:19,06:25,06:31,06:37
06:00,06:04,06:11,06:18,06:24,06:30,06:36,06:42
06:05,06:09,06:16,06:23,06:29,06:36,06:42,06:48
06:10,06:14,06:21,06:28,06:35,06:41,06:47,06:53
06:15,06:19,06:27,06:33,06:40,06:47,06:53,06:59
06:20,06:24,06:32,06:39,06:45,06:52,06:58,07:05
06:25,06:29,06:37,06:44,06:51,06:57,07:04,07:10
06:30,06:35,06:42,06:49,06:56,07:03,07:09,07:16
06:35,06:40,06:47,06:54,07:01,07:08,07:15,07:21
06:40,06:45,06:52,07:00,07:07,07:14,07:20,07:27
06:45,06:50,06:57,07:05,07:12,07:19,07:26,07:33
06:50,06:55,07:03,07:10,07:17,07:25,07:31,07:38
06:55,07:00,07:08,07:15,07:23,07:30,07:37,07:44
07:00,07:05,07:13,07:21,07:28,07:35,07:42,07:49
07:05,07:10,07:18,07:26,07:34,07:41,07:48,07:55
07:10,07:15,07:23,07:31,07:39,07:46,07:53,08:00
07:15,07:20,07:28,07:36,07:44,07:52,07:59,08:06
07:20,07:25,07:34,07:42,07:50,07:57,08:04,08:12
07:25,07:30,07:39,07:47,07:55,08:03,08:10,08:17
07:30,07:35,07:44,07:52,08:00,08:08,08:15,08:23
07:35,07:40,07:49,07:57,08:06,08:13,08:21,08:28
07:40,07:45,07:54,08:03,08:11,08:19,08:27,08:34
07:45,07:50,07:59,08:08,08:16,08:24,08:32,08:40
07:50,07:55,08:04,08:13,08:22,08:30,08:38,08:45
07:55,08:00,08:10,08:18,08:27,08:35,08:43,08:51
08:00,08:06,08:15,08:24,08:32,08:40,08:49,08:56
