a, t avg speed 4.71
0.0, -9.84
        10.0, -9.22
        20.0, -8.37
        30.0, -7.48
        40.0, -6.42
        50.0, -5.15
        60.0, -3.9
        70.0, -2.68
        80.0, -1.6
        90.0, -0.66
        100.0, 0.16
        110.0, 0.71
        120.0, 1.02
        130.0, 1.19
        140.0, 1.29
        150.0, 1.27
        160.0, 1.22
        170.0, 1.18
        180.0, 1.17
        190.0, 1.21
        200.0, 1.38
        210.0, 1.6
        220.0, 1.83
        230.0, 2.07
        240.0, 2.32
        250.0, 2.45
        260.0, 2.53
        270.0, 2.56
        280.0, 2.65
        290.0, 2.68
        300.0, 2.73
        310.0, 2.78
        320.0, 2.93
        330.0, 3.09
        340.0, 3.26
        350.0, 3.39
        360.0, 3.49
        370.0, 3.58
        380.0, 3.67
        390.0, 3.76
        400.0, 3.83
        410.0, 3.88
        420.0, 3.92
        430.0, 3.96
        440.0, 3.97
        450.0, 3.96
        460.0, 3.94
        470.0, 3.88
        480.0, 3.77
        490.0, 3.68
        500.0, 3.59
        510.0, 3.54
        520.0, 3.51
        530.0, 3.49
        540.0, 3.49
        550.0, 3.47
        560.0, 3.42
        570.0, 3.33
        580.0, 3.21
        590.0, 3.1
        600.0, 2.97
        610.0, 2.84
        620.0, 2.73
        630.0, 2.59
        640.0, 2.42
        650.0, 2.28
        660.0, 2.15
        670.0, 2.01
        680.0, 1.84
        690.0, 1.73
        700.0, 1.54
        710.0, 1.15
        720.0, 0.87
        730.0, 0.74
        740.0, 0.62
        750.0, 0.53
        760.0, 0.51
        770.0, 0.48
        780.0, 0.49
        790.0, 0.36
        800.0, 0.13
        810.0, -0.03
        820.0, -0.12
        830.0, -0.06
        840.0, 0.33
        850.0, 0.62
        860.0, 0.8
        870.0, 0.81
        880.0, 0.62
        890.0, 0.41
        900.0, 0.31
        910.0, 0.44
        920.0, 0.44
        930.0, 0.46
        940.0, 0.38
        950.0, 0.28
        960.0, 0.11
        970.0, -0.04
        980.0, -0.19
        990.0, -0.3
        1000.0, -0.34
        1010.0, -0.38
        1020.0, -0.37
        1030.0, -0.33
        1040.0, -0.3
        1050.0, -0.22
        1060.0, -0.09
        1070.0, 0.01
        1080.0, 0.07
        1090.0, 0.07
        1100.0, 0.0
        1110.0, -0.06
        1120.0, -0.11
        1130.0, -0.12
        1140.0, -0.11
        1150.0, 0.03
        1160.0, 0.23
        1170.0, 0.4
        1180.0, 0.52
        1190.0, 0.54
        1200.0, 0.56
        1210.0, 0.67
        1220.0, 0.8
        1230.0, 0.92
        1240.0, 1.01
        1250.0, 1.1
        1260.0, 1.2
        1270.0, 1.24
        1280.0, 1.24
        1290.0, 1.23
        1300.0, 1.21
        1310.0, 1.16
        1320.0, 1.1
        1330.0, 1.04
        1340.0, 0.99
        1350.0, 0.94
        1360.0, 0.91
        1370.0, 0.84
        1380.0, 0.78
        1390.0, 0.73
        1400.0, 0.67
        1410.0, 0.64
        1420.0, 0.59
        1430.0, 0.48
        1440.0, 0.38
        1450.0, 0.26
        1460.0, 0.14
        1470.0, 0.05
        1480.0, -0.04
        1490.0, -0.12
        1500.0, -0.19
        1510.0, -0.25
        1520.0, -0.29
        1530.0, -0.32
        1540.0, -0.35
        1550.0, -0.39
        1560.0, -0.48
        1570.0, -0.57
        1580.0, -0.66
        1590.0, -0.77
        1600.0, -0.89
        1610.0, -1.0
        1620.0, -1.15
        1630.0, -1.28
        1640.0, -1.44
        1650.0, -1.61
        1660.0, -1.8
        1670.0, -1.99
        1680.0, -2.23
        1690.0, -2.53
        1700.0, -2.89
        1710.0, -3.22
        1720.0, -3.51
        1730.0, -3.73
        1740.0, -3.94
        1750.0, -4.2
        1760.0, -4.59
        1770.0, -5.11
        1780.0, -5.61
        1790.0, -6.1
        1800.0, -6.57
        1810.0, -7.07
        1820.0, -7.61
        1830.0, -7.97
        1840.0, -8.25
        1850.0, -8.46
        1860.0, -8.62
