erg score,50kg,60kg,70kg,80kg,90kg,100kg,110kg
05:40,05:10,05:16,05:22,05:27,05:33,05:38,05:43
05:45,05:15,05:21,05:27,05:32,05:38,05:43,05:48
05:50,05:19,05:26,05:31,05:37,05:42,05:48,05:53
05:55,05:24,05:30,05:36,05:42,05:47,05:53,05:58
06:00,05:29,05:35,05:41,05:47,05:52,05:58,06:03
06:05,05:33,05:39,05:46,05:51,05:57,06:03,06:08
06:10,05:38,05:44,05:50,05:56,06:02,06:08,06:13
06:15,05:42,05:49,05:55,06:01,06:07,06:13,06:18
06:20,05:47,05:53,06:00,06:06,06:12,06:18,06:23
06:25,05:51,05:58,06:04,06:11,06:17,06:23,06:28
06:30,05:56,06:03,06:09,06:16,06:22,06:27,06:33
06:35,06:01,06:07,06:14,06:20,06:26,06:32,06:38
06:40,06:05,06:12,06:19,06:25,06:31,06:37,06:43
06:45,06:10,06:17,06:23,06:30,06:36,06:42,06:48
06:50,06:14,06:21,06:28,06:35,06:41,06:47,06:53
06:55,06:19,06:26,06:33,06:40,06:46,06:52,06:58
07:00,06:23,06:31,06:38,06:44,06:51,06:57,07:03
07:05,06:28,06:35,06:42,06:49,06:56,07:02,07:08
07:10,06:32,06:40,06:47,06:54,07:01,07:07,07:14
07:15,06:37,06:45,06:52,06:59,07:06,07:12,07:19
07:20,06:42,06:49,06:57,07:04,07:11,07:17,07:24
07:25,06:46,06:54,07:01,07:08,07:15,07:22,07:29
07:30,06:51,06:59,07:06,07:13,07:20,07:27,07:34
07:35,06:55,07:03,07:11,07:18,07:25,07:32,07:39
07:40,07:00,07:08,07:15,07:23,07:30,07:37,07:44
07:45,07:04,07:12,07:20,07:28,07:35,07:42,07:49
07:50,07:09,07:17,07:25,07:33,07:40,07:47,07:54
07:55,07:14,07:22,07:30,07:37,07:45,07:52,07:59
08:00,07:18,07:26,07:34,07:42,07:50,07:57,08:04
