erg score,50kg,60kg,70kg,80kg,90kg,100kg,110kg
05:40,04:59,05:04,05:10,05:15,05:20,05:25,05:30
05:45,05:03,05:09,05:14,05:20,05:25,05:30,05:35
05:50,05:08,05:13,05:19,05:24,05:30,05:35,05:40
05:55,05:12,05:18,05:24,05:29,05:34,05:40,05:45
06:00,05:16,05:22,05:28,05:34,05:39,05:44,05:49
06:05,05:21,05:27,05:33,05:38,05:44,05:49,05:54
06:10,05:25,05:31,05:37,05:43,05:49,05:54,05:59
06:15,05:30,05:36,05:42,05:48,05:53,05:59,06:04
06:20,05:34,05:40,05:46,05:52,05:58,06:03,06:09
06:25,05:38,05:45,05:51,05:57,06:03,06:08,06:14
06:30,05:43,05:49,05:55,06:01,06:07,06:13,06:19
06:35,05:47,05:54,06:00,06:06,06:12,06:18,06:23
06:40,05:51,05:58,06:05,06:11,06:17,06:23,06:28
06:45,05:56,06:03,06:09,06:15,06:21,06:27,06:33
06:50,06:00,06:07,06:14,06:20,06:26,06:32,06:38
06:55,06:05,06:12,06:18,06:25,06:31,06:37,06:43
07:00,06:09,06:16,06:23,06:29,06:36,06:42,06:48
07:05,06:13,06:21,06:27,06:34,06:40,06:46,06:52
07:10,06:18,06:25,06:32,06:39,06:45,06:51,06:57
07:15,06:22,06:29,06:36,06:43,06:50,06:56,07:02
07:20,06:27,06:34,06:41,06:48,06:54,07:01,07:07
07:25,06:31,06:38,06:46,06:52,06:59,07:06,07:12
07:30,06:35,06:43,06:50,06:57,07:04,07:10,07:17
07:35,06:40,06:47,06:55,07:02,07:09,07:15,07:22
07:40,06:44,06:52,06:59,07:06,07:13,07:20,07:26
07:45,06:49,06:56,07:04,07:11,07:18,07:25,07:31
07:50,06:53,07:01,07:08,07:16,07:23,07:30,07:36
07:55,06:57,07:05,07:13,07:20,07:27,07:34,07:41
08:00,07:02,07:10,07:17,07:25,07:32,07:39,07:46
