Sport	ns1:Id	StartTime	ns1:TotalTimeSeconds	ns1:DistanceMeters	ns1:MaximumSpeed	ns1:Calories	ns1:Value	ns1:Value2	ns1:Intensity	ns1:TriggerMethod	ns1:Time	ns1:LatitudeDegrees	ns1:LongitudeDegrees	ns1:AltitudeMeters	ns1:DistanceMeters3	ns1:Value4	ns2:Speed	ns2:AvgSpeed	ns1:Name	ns1:UnitId	ns1:ProductID	ns1:VersionMajor	ns1:VersionMinor	ns1:BuildMajor	ns1:BuildMinor	ns1:Name5	ns1:VersionMajor6	ns1:VersionMinor7	ns1:BuildMajor8	ns1:BuildMinor9	ns1:LangID	ns1:PartNumber
Other	2011-04-12T16:51:32.000Z	2011-04-12T16:51:32.000Z	192.92	500	3.072999954	32	147	154	Active	Manual	2011-04-12T16:51:32.000Z							2.59100008	Garmin Forerunner 110	3812477525	1124	2	40	0	0	Garmin Connect API	0	0	0	0	en	GAR-MINCN-CT
Other	2011-04-12T16:51:32.000Z	2011-04-12T16:51:32.000Z	192.92	500	3.072999954	32	147	154	Active	Manual	2011-04-12T16:51:32.000Z	49.24095157	16.51054446	226.3999939	0	146	2.539000034	2.59100008	Garmin Forerunner 110	3812477525	1124	2	40	0	0	Garmin Connect API	0	0	0	0	en	GAR-MINCN-CT
Other	2011-04-12T16:51:32.000Z	2011-04-12T16:51:32.000Z	192.92	500	3.072999954	32	147	154	Active	Manual	2011-04-12T16:51:33.000Z	49.24096271	16.51053021	226.3999939	1.590000033	144	2.420000076	2.59100008	Garmin Forerunner 110	3812477525	1124	2	40	0	0	Garmin Connect API	0	0	0	0	en	GAR-MINCN-CT
Other	2011-04-12T16:51:32.000Z	2011-04-12T16:51:32.000Z	192.92	500	3.072999954	32	147	154	Active	Manual	2011-04-12T16:51:36.000Z	49.24098174	16.51050489	226.3999939	4.400000095	139	1.944000006	2.59100008	Garmin Forerunner 110	3812477525	1124	2	40	0	0	Garmin Connect API	0	0	0	0	en	GAR-MINCN-CT
Other	2011-04-12T16:51:32.000Z	2011-04-12T16:51:32.000Z	192.92	500	3.072999954	32	147	154	Active	Manual	2011-04-12T16:51:42.000Z	49.2410431	16.51041009	226.6000061	14.10000038	139	1.399000049	2.59100008	Garmin Forerunner 110	3812477525	1124	2	40	0	0	Garmin Connect API	0	0	0	0	en	GAR-MINCN-CT
Other	2011-04-12T16:51:32.000Z	2011-04-12T16:51:32.000Z	192.92	500	3.072999954	32	147	154	Active	Manual	2011-04-12T16:51:47.000Z	49.24111904	16.51028009	226.6000061	26.79000092	140	1.875	2.59100008	Garmin Forerunner 110	3812477525	1124	2	40	0	0	Garmin Connect API	0	0	0	0	en	GAR-MINCN-CT
Other	2011-04-12T16:51:32.000Z	2011-04-12T16:51:32.000Z	192.92	500	3.072999954	32	147	154	Active	Manual	2011-04-12T16:51:52.000Z	49.24119883	16.51013961	226.8000031	40.33000183	139	2.538000107	2.59100008	Garmin Forerunner 110	3812477525	1124	2	40	0	0	Garmin Connect API	0	0	0	0	en	GAR-MINCN-CT
Other	2011-04-12T16:51:32.000Z	2011-04-12T16:51:32.000Z	192.92	500	3.072999954	32	147	154	Active	Manual	2011-04-12T16:51:57.000Z	49.24127444	16.50999636	226.8000031	53.74000168	140	2.730000019	2.59100008	Garmin Forerunner 110	3812477525	1124	2	40	0	0	Garmin Connect API	0	0	0	0	en	GAR-MINCN-CT
Other	2011-04-12T16:51:32.000Z	2011-04-12T16:51:32.000Z	192.92	500	3.072999954	32	147	154	Active	Manual	2011-04-12T16:52:01.000Z	49.24134451	16.50985555	226.8000031	66.62000275	140	2.881000042	2.59100008	Garmin Forerunner 110	3812477525	1124	2	40	0	0	Garmin Connect API	0	0	0	0	en	GAR-MINCN-CT
Other	2011-04-12T16:51:32.000Z	2011-04-12T16:51:32.000Z	192.92	500	3.072999954	32	147	154	Active	Manual	2011-04-12T16:52:04.000Z	49.24140134	16.50976896	226.6000061	75.54000092	140	2.927000046	2.59100008	Garmin Forerunner 110	3812477525	1124	2	40	0	0	Garmin Connect API	0	0	0	0	en	GAR-MINCN-CT
