time	HR	VO2/kg	VO2	VO2/HR	RER	VE	VO2/kg	HR	BF	
5	81	6	0.480	6.0	0.86	12.8	6	81	15.9
10	81	6	0.480	6.0	0.86	12.8	6	81	15.9
15	79	6	0.459	5.8	0.89	12.1	6	79	16.0
20	80	7	0.546	6.8	0.90	14.7	7	80	19.5
25	87	8	0.579	6.5	0.92	16.3	8	87	25.6
30	93	10	0.739	8.0	0.92	19.4	10	93	20.6
35	99	13	0.943	9.5	0.85	24.8	13	99	31.3
40	113	16	1.155	10.3	1.01	32.8	16	113	20.1
45	122	15	1.118	9.2	1.08	35.0	15	122	28.8
50	132	10	0.721	5.5	1.12	22.4	10	132	18.0
55	137	10	0.732	5.4	0.97	24.0	10	137	20.9
60	138	24	1.798	13.1	0.85	36.8	24	138	25.7
65	139	30	2.197	15.8	0.76	47.0	30	139	25.1
70	140	30	2.212	15.8	0.80	54.2	30	140	17.9
75	142	28	2.104	14.9	0.78	48.9	28	142	23.3
80	145	22	1.660	11.5	0.75	34.4	22	145	18.9
85	147	36	2.702	18.4	0.68	45.6	36	147	28.3
90	148	38	2.852	19.3	0.75	69.2	38	148	36.2
95	148	41	3.056	20.6	0.77	71.9	41	148	44.5
100	151	26	1.958	13.0	0.74	48.6	26	151	41.4
105	154	31	2.307	15.0	0.75	56.3	31	154	44.3
110	156	37	2.730	17.6	0.79	67.2	37	156	47.2
115	156	39	2.921	18.7	0.82	65.1	39	156	32.9
120	156	42	3.115	19.9	0.79	70.8	42	156	44.2
125	156	27	2.014	12.9	0.64	55.3	27	156	43.7
130	156	50	3.682	23.5	0.82	86.6	50	156	46.4
135	158	36	2.641	16.7	0.82	59.4	36	158	37.2
140	160	44	3.233	20.2	0.82	76.2	44	160	37.3
145	161	49	3.632	22.5	0.86	91.3	49	161	44.9
150	162	24	1.811	11.2	0.86	36.8	24	162	17.7
155	162	46	3.388	20.9	0.80	83.8	46	162	43.2
160	163	28	2.063	12.7	0.87	45.5	28	163	21.0
165	163	46	3.407	20.9	0.85	79.3	46	163	39.9
170	162	47	3.459	21.4	0.89	87.5	47	162	44.7
175	162	50	3.681	22.7	0.91	93.7	50	162	45.5
180	163	41	3.073	18.8	0.92	82.3	41	163	43.9
185	165	40	2.950	17.9	0.91	84.3	40	165	47.2
190	166	40	2.947	17.8	0.95	82.0	40	166	46.0
195	167	24	1.745	10.4	0.91	54.1	24	167	47.4
200	168	48	3.570	21.2	0.94	89.6	48	168	36.0
205	169	39	2.854	16.9	0.94	85.9	39	169	45.5
210	169	40	2.976	17.6	0.98	89.3	40	169	44.0
215	170	37	2.744	16.1	0.90	77.0	37	170	51.3
220	171	43	3.171	18.6	0.94	89.2	43	171	45.8
225	170	43	3.222	18.9	0.93	92.4	43	170	46.4
230	170	41	3.012	17.7	0.94	87.8	41	170	47.0
235	169	36	2.686	15.9	0.96	79.0	36	169	47.4
240	168	56	4.132	24.6	0.94	112.4	56	168	47.4
245	169	31	2.322	13.7	0.61	66.0	31	169	42.8
250	169	41	3.040	18.0	0.96	89.5	41	169	50.2
255	170	51	3.777	22.3	0.99	99.3	51	170	31.5
260	170	43	3.217	18.9	0.95	89.7	43	170	50.0
265	171	48	3.538	20.7	1.00	106.9	48	171	47.9
270	171	38	2.815	16.4	1.01	81.3	38	171	37.9
275	172	41	3.065	17.8	0.94	88.7	41	172	48.9
280	173	46	3.418	19.8	0.97	101.2	46	173	49.0
285	173	45	3.337	19.3	1.00	101.3	45	173	48.9
290	174	45	3.348	19.2	1.02	100.5	45	174	49.1
295	175	44	3.267	18.7	1.03	101.4	44	175	49.4
300	176	41	3.030	17.3	1.06	100.3	41	176	49.4
305	176	41	3.041	17.3	1.02	98.0	41	176	51.8
310	175	49	3.630	20.7	1.03	103.4	49	175	37.6
315	175	44	3.235	18.5	1.02	102.1	44	175	48.7
320	176	45	3.335	18.9	1.04	105.2	45	176	48.7
325	177	42	3.097	17.6	1.02	90.1	42	177	40.8
330	177	55	4.098	23.2	1.01	110.4	55	177	40.4
335	178	52	3.858	21.7	1.05	123.4	52	178	50.2
340	177	46	3.413	19.3	1.08	113.9	46	177	51.3
345	177	47	3.450	19.5	1.08	112.8	47	177	49.5
350	178	43	3.164	17.8	1.08	104.5	43	178	53.1
355	178	44	3.234	18.2	1.08	111.0	44	178	54.5
360	179	48	3.536	19.8	1.09	121.9	48	179	56.7
365	178	47	3.455	19.4	1.09	119.1	47	178	52.7
370	178	45	3.367	18.9	1.05	109.7	45	178	53.9
375	179	45	3.365	18.8	1.08	113.3	45	179	52.6
380	180	48	3.527	19.6	1.13	125.6	48	180	53.3
385	181	54	3.994	22.1	1.11	132.9	54	181	54.0
390	182	48	3.558	19.6	1.11	123.9	48	182	52.7
395	182	45	3.363	18.5	1.10	119.2	45	182	56.3
400	183	53	3.930	21.5	1.11	133.8	53	183	55.9
405	182	55	4.046	22.2	1.13	144.1	55	182	56.0
410	183	48	3.523	19.3	1.14	130.7	48	183	56.7
415	183	51	3.756	20.5	1.15	136.2	51	183	54.1
420	184	55	4.063	22.1	1.12	143.8	55	184	59.0
425	183	44	3.246	17.7	1.17	124.4	44	183	58.2
430	184	56	4.142	22.5	1.15	145.9	56	184	57.4
435	184	51	3.761	20.4	1.17	142.8	51	184	55.8
440	185	48	3.535	19.1	1.16	135.6	48	185	58.1
445	184	54	4.037	21.9	1.20	151.7	54	184	55.7
450	184	49	3.645	19.9	1.19	146.7	49	184	57.0
455	184	51	3.749	20.4	1.17	143.8	51	184	55.9
